Beat_Number,Time_seconds,Time_mm:ss.ms
740,715.4260,11:55.426
741,716.3863,11:56.386
742,717.3460,11:57.346
743,718.3045,11:58.304
744,719.2640,11:59.264
745,720.2648,12:00.265
746,721.2255,12:01.226
747,722.1838,12:02.184
748,723.1427,12:03.143
749,724.1015,12:04.101
750,725.1040,12:05.104
751,726.0628,12:06.063
752,727.0230,12:07.023
753,727.9807,12:07.981
754,728.9402,12:08.940
755,729.9415,12:09.942
756,730.9010,12:10.901
757,731.8610,12:11.861
758,732.8193,12:12.819
759,733.7787,12:13.779
760,734.7795,12:14.779
761,735.7400,12:15.740
762,736.6983,12:16.698
763,737.6575,12:17.658
764,738.6165,12:18.616
765,739.6180,12:19.618
766,740.5780,12:20.578
767,741.5370,12:21.537
768,742.4955,12:22.495
769,743.4545,12:23.455
770,744.4562,12:24.456
771,745.4158,12:25.416
772,746.3753,12:26.375
773,747.3335,12:27.333
774,748.2930,12:28.293
775,749.2935,12:29.293
776,750.2532,12:30.253
777,751.2142,12:31.214
778,752.1725,12:32.173
779,753.1313,12:33.131
780,754.1322,12:34.132
781,755.0918,12:35.092
782,756.0520,12:36.052
783,757.0100,12:37.010
784,757.9692,12:37.969
785,758.9702,12:38.970
786,759.9303,12:39.930
787,760.8910,12:40.891
788,761.8483,12:41.848
789,762.8072,12:42.807
790,763.8085,12:43.808
791,764.7677,12:44.768
792,765.7283,12:45.728
793,766.6865,12:46.687
794,767.6465,12:47.646
795,768.6465,12:48.646
796,769.6065,12:49.606
797,770.5662,12:50.566
798,771.5250,12:51.525
799,772.4840,12:52.484
800,773.4850,12:53.485
801,774.4452,12:54.445
802,775.4037,12:55.404
803,776.3632,12:56.363
804,777.3223,12:57.322
805,778.3228,12:58.323
806,779.2825,12:59.283
807,780.2428,13:00.243
808,781.2010,13:01.201
809,782.1603,13:02.160
810,783.1612,13:03.161
811,784.1213,13:04.121
812,785.0805,13:05.081
813,786.0395,13:06.039
814,786.9982,13:06.998
815,787.9997,13:08.000
816,788.9597,13:08.960
